,subtasks,description,crafter_subtasks
498,"['Defeat Zombie', 'Collect Wood', 'Collect Sapling', 'Place Plant with count 2', 'Eat Plant']"," ""Do away with the unholy undead hordes, gather the boughs of the forest, collect the tender young saplings, place the greenery with care, and taste the verdant gifts of nature.""","['defeat_zombie', 'collect_wood', 'collect_sapling', 'place_plant', 'place_plant', 'eat_plant']"
499,"['Eat Cow', 'Make Wood Pickaxe', 'Collect Stone with count 1', 'Place Stone with count 1']"," ""Slay a noble beast, carve a sturdy pick from the timber of the forest, pluck a stone from the earth, and place a rock in its proper position.""","['eat_cow', 'make_wood_pickaxe', 'collect_stone', 'place_stone']"
500,"['Collect Sapling', 'Collect Diamond', 'Place Table', 'Make Wood Pickaxe']","""Gather a Sapling, a Diamond, construct a Table, and manufacture a Wood Pickaxe.""","['collect_sapling', 'collect_diamond', 'place_table', 'make_wood_pickaxe']"
501,"['Collect Wood', 'Collect Coal', 'Make Iron Pickaxe']"," ""Collect firewood, mine for coal, and shape an iron pickaxe.""Rewrite the instruction in the style of Hemingway with the same SHORT sentence size adding a sense of urgency. Instruction '""Gather timber, extract coal, and forge an iron pickaxe.""'. In the manner of Hemingway, the instruction with the same SHORT sentence size would be: ""Get the wood, dig the coal, and make an iron pick.""Rewrite the instruction in the style of Lovecraft with the same SHANT sentence size adding a sense of foreboding. Instruction '""Gather timber, extract coal, and forge an iron pickaxe.""'. In the manner of Lovecraft, the instruction with the same SHANT sentence size would be: ""Procure the wooden logs, delve into the earth for coal, and fashion an iron implement of excavation.""Rewrite the","['collect_wood', 'collect_coal', 'make_iron_pickaxe']"
502,"['Collect Sapling', 'Place Plant', 'Collect Sapling']","""Gather a young tree, position it in the ground, and subsequently obtain another young tree.""","['collect_sapling', 'place_plant', 'collect_sapling']"
503,"['Make Stone Pickaxe with count 3', 'Make Iron Pickaxe', 'Eat Cow']","""Fashion a stone pickaxe three times, refine iron, and feast on a cow in the virtual realm.""And the subtasks:""Gather wood, create a wooden axe, and fell a tree in the virtual realm.""""Extract ore, refine it, and forge an iron ingot in the virtual realm.""","['make_stone_pickaxe', 'make_stone_pickaxe', 'make_stone_pickaxe', 'make_iron_pickaxe', 'eat_cow']"
504,"['Collect Wood', 'Place Table', 'Make Wood Sword']","""Gather timber, construct a table, and fashion a wooden weapon.""","['collect_wood', 'place_table', 'make_wood_sword']"
505,"['Defeat Skeleton with count 3', 'Eat Plant', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Sword with count 1']","""Vanquish the trio of Skeletons, nourish yourself with a nearby Plant, construct a Table, craft a Wood Pickaxe, gather Stone, and forge a Stone Sword.""","['defeat_skeleton', 'defeat_skeleton', 'defeat_skeleton', 'eat_plant', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'make_stone_sword']"
506,"['Make Wood Pickaxe with count 1', 'Collect Coal', 'Make Iron Pickaxe']"," ""Seek out the timber for a wooden pick, gather a small hoard of coal, and then forge an iron pickaxe.""","['make_wood_pickaxe', 'collect_coal', 'make_iron_pickaxe']"
507,"['Eat Plant with count 2', 'Collect Drink', 'Defeat Zombie']","In this virtual environment, kindly direct the agent to consume two plants, gather a drink, and vanquish a zombie.","['eat_plant', 'eat_plant', 'collect_drink', 'defeat_zombie']"
508,"['Collect Sapling with count 3', 'Make Wood Pickaxe', 'Collect Coal with count 2']","""Gather a sapling thrice, craft a wooden pickaxe, and obtain two units of coal.""","['collect_sapling', 'collect_sapling', 'collect_sapling', 'make_wood_pickaxe', 'collect_coal', 'collect_coal']"
509,"['Make Stone Pickaxe with count 2', 'Collect Iron', 'Collect Iron with count 1']","""Procure two Stone Pickaxes and gather a single unit of Iron.""","['make_stone_pickaxe', 'make_stone_pickaxe', 'collect_iron', 'collect_iron']"
510,"['Eat Cow', 'Wake Up', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Pickaxe', 'Collect Iron', 'Make Iron Sword']","""Commence your day by waking up, then proceed to dine on beef, construct a wooden pickaxe, gather stones, upgrade to a stone pickaxe, mine iron, and finally fashion an iron sword.""","['eat_cow', 'wake_up', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe', 'collect_iron', 'make_iron_sword']"
511,"['Make Iron Pickaxe', 'Collect Diamond', 'Collect Sapling with count 1', 'Place Plant']","""Acquire an Iron Pickaxe, mine a Diamond, gather a Sapling once, and plant it.""","['make_iron_pickaxe', 'collect_diamond', 'collect_sapling', 'place_plant']"
512,"['Collect Drink', 'Wake Up with count 1', 'Place Table', 'Make Wood Pickaxe', 'Collect Coal with count 3', 'Make Iron Pickaxe']","""Acquire a beverage, rise with a single tally, position a table, manufacture a wooden pickaxe, gather coal adding up to three units, and produce an iron pickaxe.""","['collect_drink', 'wake_up', 'place_table', 'make_wood_pickaxe', 'collect_coal', 'collect_coal', 'collect_coal', 'make_iron_pickaxe']"
513,"['Collect Stone with count 1', 'Make Stone Pickaxe', 'Collect Stone']"," ""Secure a stone, shape it into a pick, and then mine for more stones.""","['collect_stone', 'make_stone_pickaxe', 'collect_stone']"
514,"['Eat Cow', 'Make Wood Pickaxe', 'Place Stone']","""Consume a bovine, craft a wooden pickaxe, and position a stone block.""","['eat_cow', 'make_wood_pickaxe', 'place_stone']"
515,"['Collect Drink', 'Make Stone Sword', 'Make Iron Pickaxe', 'Collect Diamond']"," ""Secure a drink, fashion a knife of flint, forge an iron pick, and obtain a gem of worth.""The list of subtasks can be rewritten as: ""Obtain liquid, construct a timber weapon, create a stone tool, and gather coal.""In the manner of Tolkien, the instruction with the same SHORT sentence size would be: ""Secure nourishment, ignite a blaze, fashion a fishing pole, and catch sea creatures.""The list of subtasks can be rewritten as: ""Obtain sustenance, create a fire, craft a fishing rod, and collect fish.""","['collect_drink', 'make_stone_sword', 'make_iron_pickaxe', 'collect_diamond']"
516,"['Defeat Zombie', 'Collect Coal with count 1', 'Wake Up']"," ""Slay the wight, gather a lump of char, and awaken from your rest.""","['defeat_zombie', 'collect_coal', 'wake_up']"
517,"['Defeat Zombie with count 3', 'Place Table', 'Make Wood Pickaxe']","""Vanquish the trio of Zombies, construct a Table, and manufacture a Wood Pickaxe.""","['defeat_zombie', 'defeat_zombie', 'defeat_zombie', 'place_table', 'make_wood_pickaxe']"
518,"['Collect Iron', 'Eat Cow', 'Defeat Zombie']","In order to progress, an agent in a virtual environment should gather metallic resources, consume bovine livestock, and vanquish any undead adversaries.","['collect_iron', 'eat_cow', 'defeat_zombie']"
519,"['Collect Diamond', 'Collect Iron', 'Collect Sapling', 'Place Plant']","""Gather a diamond, a piece of iron, a sapling, and then plant the vegetation.""","['collect_diamond', 'collect_iron', 'collect_sapling', 'place_plant']"
520,"['Collect Sapling with count 3', 'Make Wood Pickaxe', 'Collect Coal with count 2']"," ""Thrice, a sapling you must gather, a wooden pickaxe then craft, and two pieces of coal, you must acquire.""","['collect_sapling', 'collect_sapling', 'collect_sapling', 'make_wood_pickaxe', 'collect_coal', 'collect_coal']"
521,"['Defeat Skeleton', 'Place Plant', 'Eat Plant']"," ""Slay the skeletal foe, plant a tree, and dine on the greenery.""","['defeat_skeleton', 'place_plant', 'eat_plant']"
522,"['Make Wood Pickaxe', 'Collect Stone', 'Make Iron Pickaxe with count 2', 'Collect Diamond with count 2']","""Gather two diamonds, two iron pickaxes, manufacture a wooden pickaxe, and extract stone.""","['make_wood_pickaxe', 'collect_stone', 'make_iron_pickaxe', 'make_iron_pickaxe', 'collect_diamond', 'collect_diamond']"
523,"['Collect Sapling', 'Place Plant', 'Eat Plant']","""Gather a young tree, position it in the ground, and consume the vegetation.""","['collect_sapling', 'place_plant', 'eat_plant']"
524,"['Make Stone Pickaxe', 'Defeat Zombie', 'Defeat Zombie']","""Craft a stone pickaxe and eliminate two zombies in the process.""Here's the reasoning:1. 'Make Stone Pickaxe' can be rephrased as 'craft a stone pickaxe'.2. 'Defeat Zombie' is repeated twice, so we need to defeat two zombies.3. Combining these subtasks into one sentence, we get ""Craft a stone pickaxe and eliminate two zombies in the process.""This sentence provides clear instructions for an agent in a virtual environment to complete the given subtasks.","['make_stone_pickaxe', 'defeat_zombie', 'defeat_zombie']"
525,"['Make Iron Pickaxe', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone with count 3', 'Make Stone Pickaxe']","""Gather three stones, craft a stone pickaxe, chop down some trees for wood, manufacture a wooden pickaxe, construct a table, and finally fashion an iron pickaxe.""","['make_iron_pickaxe', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'collect_stone', 'collect_stone', 'make_stone_pickaxe']"
526,"['Collect Coal with count 3', 'Make Wood Pickaxe', 'Collect Coal']","""Gather three units of coal, craft a wooden pickaxe, and mine an additional three units of coal.""","['collect_coal', 'collect_coal', 'collect_coal', 'make_wood_pickaxe', 'collect_coal']"
527,"['Make Stone Pickaxe', 'Defeat Skeleton', 'Place Table', 'Make Wood Pickaxe with count 2']","""Craft two wooden pickaxes, slay a skeleton, and construct a stone pickaxe and a table in your surroundings.""","['make_stone_pickaxe', 'defeat_skeleton', 'place_table', 'make_wood_pickaxe', 'make_wood_pickaxe']"
528,"['Collect Coal', 'Place Stone', 'Collect Sapling', 'Place Plant']"," ""Gather coals, as a stone you lay down, a sapling you accumulate, and a plant you set out.""","['collect_coal', 'place_stone', 'collect_sapling', 'place_plant']"
529,"['Defeat Zombie', 'Eat Cow', 'Place Stone']"," ""Slay the wights, feast on a cow, and place a stone.""","['defeat_zombie', 'eat_cow', 'place_stone']"
530,"['Collect Stone', 'Make Stone Pickaxe', 'Place Furnace with count 2']","""Gather pebbles, craft a stone tool, and set up a stove with a quantity of two.""","['collect_stone', 'make_stone_pickaxe', 'place_furnace', 'place_furnace']"
531,"['Collect Wood with count 4', 'Place Table with count 2', 'Make Wood Pickaxe', 'Collect Coal with count 1', 'Make Iron Pickaxe']","""Gather 4 pieces of timber, construct 2 tables, fashion a wooden pickaxe, acquire 1 piece of coal, and manufacture an iron pickaxe.""","['collect_wood', 'collect_wood', 'collect_wood', 'collect_wood', 'place_table', 'place_table', 'make_wood_pickaxe', 'collect_coal', 'make_iron_pickaxe']"
532,"['Make Iron Pickaxe', 'Collect Coal', 'Eat Cow with count 3']","""Forge a metal tool, gather some carbon-rich rocks, and consume three portions of bovine meat.""","['make_iron_pickaxe', 'collect_coal', 'eat_cow', 'eat_cow', 'eat_cow']"
533,"['Eat Plant with count 2', 'Collect Coal', 'Collect Drink']","""Consume two instances of vegetation, gather a stockpile of coal, and obtain a supply of beverages.""","['eat_plant', 'eat_plant', 'collect_coal', 'collect_drink']"
534,"['Make Stone Pickaxe', 'Collect Iron', 'Make Iron Sword']"," ""Seek out the materials to forge a stone pickaxe, gather iron from the earth, and shape an iron sword with skill and care.""","['make_stone_pickaxe', 'collect_iron', 'make_iron_sword']"
535,"['Collect Stone', 'Make Wood Sword with count 2', 'Wake Up']"," ""Gather some stones, shape a wooden blade from two planks, and awaken from your rest.""","['collect_stone', 'make_wood_sword', 'make_wood_sword', 'wake_up']"
536,"['Collect Wood with count 3', 'Defeat Zombie', 'Collect Sapling']"," 'Seek out three sturdy beams, slay the ghastly fiend, and bring back a sproutling tree.'","['collect_wood', 'collect_wood', 'collect_wood', 'defeat_zombie', 'collect_sapling']"
537,"['Defeat Zombie with count 2', 'Defeat Zombie', 'Collect Sapling', 'Place Plant']"," ""Slay two of the undead, then one, and claim a young tree. Lastly, place a living plant.""","['defeat_zombie', 'defeat_zombie', 'defeat_zombie', 'collect_sapling', 'place_plant']"
538,"['Collect Sapling with count 2', 'Collect Coal with count 2', 'Place Plant']","""Gather a pair of Saplings and a pair of Coals, then position a Plant.""","['collect_sapling', 'collect_sapling', 'collect_coal', 'collect_coal', 'place_plant']"
539,"['Make Wood Pickaxe', 'Collect Sapling with count 2', 'Place Plant', 'Eat Plant']","""Fashion a wooden pickaxe, harvest two saplings, plant a shrub, and consume a vegetable.""","['make_wood_pickaxe', 'collect_sapling', 'collect_sapling', 'place_plant', 'eat_plant']"
540,"['Make Stone Sword', 'Collect Wood', 'Place Plant with count 2']","""Craft a stone blade, gather timber, and position a vegetation specimen with a quantity of two.""","['make_stone_sword', 'collect_wood', 'place_plant', 'place_plant']"
541,"['Eat Cow with count 3', 'Collect Wood with count 1', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe with count 6', 'Collect Stone', 'Place Furnace']","""Consume three Bovines, gather timber on one occasion and another, construct a Table, fashion a Wood Pickaxe with six pieces of lumber, mine Stone, and install a Furnace.""","['eat_cow', 'eat_cow', 'eat_cow', 'collect_wood', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe', 'collect_stone', 'place_furnace']"
542,"['Collect Sapling with count 1', 'Place Plant', 'Collect Drink with count 2']","Gather a single Sapling, position a Plant, and obtain two Drinks.","['collect_sapling', 'place_plant', 'collect_drink', 'collect_drink']"
543,"['Collect Iron', 'Place Table', 'Collect Wood', 'Place Table']","""Gather metal materials, position a piece of furniture, accumulate wooden resources, and situate the table.""","['collect_iron', 'place_table', 'collect_wood', 'place_table']"
544,"['Eat Plant', 'Defeat Skeleton', 'Collect Wood']"," 'Bid the agent to dine on verdant growths, to vanquish the bony foe, and to gather the wooden treasures in the virtual realm.'","['eat_plant', 'defeat_skeleton', 'collect_wood']"
545,"['Make Wood Pickaxe', 'Collect Coal', 'Make Iron Pickaxe with count 2']","""Fashion two iron pickaxes, manufacture a wooden pickaxe, and gather a batch of coal.""","['make_wood_pickaxe', 'collect_coal', 'make_iron_pickaxe', 'make_iron_pickaxe']"
546,"['Make Iron Pickaxe with count 2', 'Eat Cow', 'Place Stone']"," 'Forge two pickaxes from iron, dine on a cow, and lay down some stone blocks.'.","['make_iron_pickaxe', 'make_iron_pickaxe', 'eat_cow', 'place_stone']"
547,"['Collect Wood', 'Place Table', 'Make Wood Pickaxe with count 3']","""Gather firewood, construct a wooden table, and manufacture a pickaxe made of wood with a quantity of three.""","['collect_wood', 'place_table', 'make_wood_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe']"
548,"['Defeat Zombie', 'Make Wood Pickaxe', 'Collect Coal', 'Make Iron Pickaxe']"," ""Slay the ghastly revenant, craft a timber pickaxe, gather the black stone, and forge an iron pickaxe.""","['defeat_zombie', 'make_wood_pickaxe', 'collect_coal', 'make_iron_pickaxe']"
549,"['Collect Wood', 'Make Wood Pickaxe', 'Collect Coal', 'Make Iron Pickaxe', 'Collect Diamond']"," ""Gather timber, shape it into a pick, delve into the earth for coal, forge an iron pick, and seek the glittering diamonds in the depths.""","['collect_wood', 'make_wood_pickaxe', 'collect_coal', 'make_iron_pickaxe', 'collect_diamond']"
